         55393 function calls (53117 primitive calls) in 10.407 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3492    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     2964    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     2554    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
     2212    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     1844    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     1758    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     1448    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
1385/1351    0.001    0.000    0.002    0.000 {built-in method builtins.len}
     1354    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1354    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1247    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     1009    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1009    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
   863/83    0.004    0.000    0.239    0.003 <frozen importlib._bootstrap>:997(_handle_fromlist)
      830    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      714    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
      691    0.001    0.000    0.006    0.000 enum.py:267(__call__)
      688    0.001    0.000    0.002    0.000 enum.py:517(__new__)
      608    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      579    0.017    0.000    0.017    0.000 {built-in method posix.stat}
      579    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      566    0.001    0.000    0.002    0.000 sre_parse.py:253(get)
      443    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      443    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      407    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      407    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      407    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      395    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      394    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      363    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      350    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      346    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      336    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
  324/321    0.008    0.000    0.018    0.000 {built-in method builtins.__build_class__}
      323    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
   320/12    0.001    0.000    0.237    0.020 {built-in method builtins.__import__}
      317    0.002    0.000    0.002    0.000 overrides.py:111(array_function_dispatch)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
      312    0.001    0.000    0.004    0.000 enum.py:803(__and__)
      308    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      305    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      294    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      292    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      277    0.003    0.000    0.010    0.000 function_base.py:431(add_newdoc)
      265    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
      262    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      254    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      254    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      254    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      251    0.007    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      247    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    220/1    0.001    0.000    0.285    0.285 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      211    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      201    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      201    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      186    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      180    0.000    0.000    0.001    0.000 sre_parse.py:171(append)
  173/139    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
      166    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      164    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
    160/1    0.002    0.000    0.288    0.288 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    160/1    0.002    0.000    0.288    0.288 <frozen importlib._bootstrap>:966(_find_and_load)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      160    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
      157    0.004    0.000    0.058    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      155    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      152    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      152    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  152/149    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    152/1    0.002    0.000    0.287    0.287 <frozen importlib._bootstrap>:651(_load_unlocked)
      150    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      143    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      143    0.002    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      143    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
    138/1    0.006    0.000   10.407   10.407 {built-in method builtins.exec}
      138    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      138    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      138    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      129    0.001    0.000    0.022    0.000 re.py:286(_compile)
      127    0.010    0.000    0.010    0.000 {method 'read' of '_io.FileIO' objects}
      127    0.026    0.000    0.026    0.000 {built-in method marshal.loads}
      127    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      127    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      127    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
    127/1    0.001    0.000    0.287    0.287 <frozen importlib._bootstrap_external>:672(exec_module)
      127    0.002    0.000    0.075    0.001 <frozen importlib._bootstrap_external>:743(get_code)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      127    0.020    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      127    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      127    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
   116/61    0.001    0.000    0.001    0.000 sre_parse.py:173(getwidth)
      113    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      112    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      104    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
      102    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      102    0.000    0.000    0.002    0.000 re.py:169(match)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       86    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       84    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       84    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
       79    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x9cff80}
       78    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
       77    0.000    0.000    0.000    0.000 overrides.py:93(set_module)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       74    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       74    0.000    0.000    0.000    0.000 types.py:135(__get__)
       73    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
    73/18    0.002    0.000    0.009    0.000 sre_compile.py:64(_compile)
       73    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
